Formula [at.%],Ref,T [K],λ [W·m-1·K-1],σ [S·m-1],,,,,Reference,URL,Year,Type,Journal
Mg96.51Al1.13Zn2.36,1,300,80.62,11617600,,,,,1,https://doi.org/10.1179/1743284713Y.0000000401,2014,J,Materials Science and Technology
Mg95.57Al3.75Zn0.68,1,300,59.5,8305765.003,,,,,2,https://doi.org/10.1016/j.actamat.2014.07.063,2014,J,Acta Materialia
Mg91.37Al7.33Zn1.3,1,300,48.05,6659751.221,,,,,3,https://doi.org/10.1007/s10853-013-8012-3,2014,J,Journal of Materials Science
Mg99.81Zn0.19,2,298,151.17839,20346376.72,,,,,4,https://doi.org/10.1088/2053-1591/aac99b,2018,J,Materials Research Express
Mg99.48Al0.52,2,273,128.19523,18067075.83,,,,,5,https://doi.org/10.1016/S1003-6326(20)65340-7,2020,J,Transactions of Nonferrous Metals Society of China
Mg99.35Mn0.65,2,298,109.45383,14233862.36,,,,,6,https://doi.org/10.1016/j.jallcom.2018.03.070,2018,J,Journal of Alloys and Compounds
Mg98.08Zn1.92,2,273,114.75596,17026464.23,,,,,7,https://doi.org/10.1016/j.jallcom.2021.162943,2022,J,Journal of Alloys and Compounds
Mg99.86Ca0.14,3,300,144.55682,21984600,,,,,8,https://doi.org/10.1016/j.jallcom.2014.04.107,2014,J,Journal of Alloys and Compounds
Mg99.42Mn0.58,3,300,107.64163,14628900,,,,,9,https://doi.org/10.1016/j.jallcom.2019.07.267,2019,J,Journal of Alloys and Compounds
Mg99.29Zn0.71,3,300,139.04173,20358600,,,,,10,https://doi.org/10.1016/B978-075067509-3/50017-8,2004,B,Smithells Metals Reference Book (Eighth Edition)
Mg98.32Sn1.68,3,300,73.84771,9861700,,,,,11,https://doi.org/10.1016/j.jallcom.2014.09.199,2015,J,Journal of Alloys and Compounds
Mg97.27Zn1.57Y1.16,4,298,95.61,13730000,,,,,12,https://doi.org/10.3390/ma11122376,2018,J,Materials & Design
Mg97.3Zn2.19Cu0.51,5,298,124.1686,18667890,,,,,13,https://doi.org/10.1201/9780429265792,1974,B,Handbook of Materials Science Volume 1 General Properties
Mg99.84Y0.16,6,298,140.1,,,,,,14,https://doi.org/10.1002/9780470905098,2010,B,"Magnesium, Magnesium Alloys, and Magnesium Composites"
Mg99.82Ce0.18,6,298,143.8,,,,,,15,https://doi.org/10.1016/S0925-8388(99)00444-2,1999,J,Journal of Alloys and Compounds
Mg99.68Sm0.32,6,298,113.7,,,,,,16,https://doi.org/10.1016/j.jallcom.2016.05.261,2016,J,Journal of Alloys and Compounds
Mg99.21Zn0.18Mn0.02Ce0.48Si0.01La0.1,7,298,144.69373,18702200,,,,,17,https://doi.org/10.13289/j.issn.1009-6264.2012.04.009,2012,J,Journal of Materials Heat Treatment
Mg99.5Al0.5,8,393,130.76185,,,,,,18,https://doi.org/10.27060/d.cnki.ghbcu.2023.001094,2023,D,"Harbin Engineering University, Master's degree"
Mg99.1Al0.9,8,363,115.58935,,,,,,19,https://doi.org/10.27135/d.cnki.ghudu.2022.000748,2022,D,"Hunan University, Master's degree"
Mg98.5Al1.5,8,333,102.24883,,,,,,20,https://doi.org/10.27307/d.cnki.gsjtu.2021.000813,2021,D,"Shanghai Jiao Tong University, Master's degree"
Mg100,8,423,146.93644,,,,,,21,https://doi.org/10.27300/d.cnki.gshau.2020.000182,2020,D,"Shanghai University, Master's degree"
